Calibration metrics:
x0: Cal. error 0.4710, RMSE 0.2425, R2 -1.1163
x1: Cal. error 0.4630, RMSE 0.2878, R2 -1.9556
x2: Cal. error 0.4720, RMSE 0.3149, R2 -2.5240
x3: Cal. error 0.4650, RMSE 0.3237, R2 -2.6930
x4: Cal. error 0.4600, RMSE 0.3397, R2 -3.0527
x5: Cal. error 0.4680, RMSE 0.3490, R2 -3.2855
x6: Cal. error 0.4780, RMSE 0.3656, R2 -3.7082
x7: Cal. error 0.4780, RMSE 0.3674, R2 -3.7701
x8: Cal. error 0.4720, RMSE 0.3684, R2 -3.8191
x9: Cal. error 0.4750, RMSE 0.3656, R2 -3.7987
x10: Cal. error 0.4770, RMSE 0.3701, R2 -3.9764
x11: Cal. error 0.4770, RMSE 0.3681, R2 -3.9865
x12: Cal. error 0.4740, RMSE 0.3678, R2 -4.0586
x13: Cal. error 0.4830, RMSE 0.3645, R2 -4.0417
x14: Cal. error 0.4840, RMSE 0.3626, R2 -4.0637
x15: Cal. error 0.4870, RMSE 0.3564, R2 -3.9640
x16: Cal. error 0.4910, RMSE 0.3537, R2 -3.9650
x17: Cal. error 0.4820, RMSE 0.3554, R2 -4.0763
x18: Cal. error 0.4820, RMSE 0.3614, R2 -4.3041
x19: Cal. error 0.4790, RMSE 0.3596, R2 -4.2972
x20: Cal. error 0.4820, RMSE 0.3566, R2 -4.2452
x21: Cal. error 0.4810, RMSE 0.3543, R2 -4.1934
x22: Cal. error 0.4820, RMSE 0.3596, R2 -4.3668
x23: Cal. error 0.4800, RMSE 0.3614, R2 -4.4248
x24: Cal. error 0.4890, RMSE 0.3686, R2 -4.6299
x25: Cal. error 0.4890, RMSE 0.3743, R2 -4.7888
x26: Cal. error 0.4890, RMSE 0.3886, R2 -5.2020
x27: Cal. error 0.4890, RMSE 0.3899, R2 -5.2122
x28: Cal. error 0.4890, RMSE 0.3952, R2 -5.3282
x29: Cal. error 0.4890, RMSE 0.3937, R2 -5.2264
x30: Cal. error 0.4870, RMSE 0.4052, R2 -5.5471
x31: Cal. error 0.4890, RMSE 0.4065, R2 -5.5470
x32: Cal. error 0.4890, RMSE 0.4144, R2 -5.7312
x33: Cal. error 0.4920, RMSE 0.4128, R2 -5.6342
x34: Cal. error 0.4920, RMSE 0.4248, R2 -5.9669
x35: Cal. error 0.4910, RMSE 0.4237, R2 -5.8612
x36: Cal. error 0.4890, RMSE 0.4233, R2 -5.8254
x37: Cal. error 0.4890, RMSE 0.4110, R2 -5.4909
x38: Cal. error 0.4890, RMSE 0.4173, R2 -5.6146
x39: Cal. error 0.4870, RMSE 0.4177, R2 -5.5238
x40: Cal. error 0.4870, RMSE 0.4197, R2 -5.5640
x41: Cal. error 0.4870, RMSE 0.4193, R2 -5.5179
x42: Cal. error 0.4870, RMSE 0.4343, R2 -5.9220
x43: Cal. error 0.4840, RMSE 0.4377, R2 -5.9695
x44: Cal. error 0.4870, RMSE 0.4435, R2 -6.0921
x45: Cal. error 0.4870, RMSE 0.4429, R2 -6.0661
x46: Cal. error 0.4840, RMSE 0.4548, R2 -6.4365
x47: Cal. error 0.4840, RMSE 0.4606, R2 -6.6278
x48: Cal. error 0.4840, RMSE 0.4682, R2 -6.9577
x49: Cal. error 0.4870, RMSE 0.4712, R2 -7.1257
x50: Cal. error 0.4890, RMSE 0.4833, R2 -7.6040
x51: Cal. error 0.4890, RMSE 0.4807, R2 -7.5635
x52: Cal. error 0.4890, RMSE 0.4784, R2 -7.5770
x53: Cal. error 0.4910, RMSE 0.4733, R2 -7.4492
x54: Cal. error 0.4920, RMSE 0.4812, R2 -7.7465
x55: Cal. error 0.4920, RMSE 0.4780, R2 -7.6460
x56: Cal. error 0.4920, RMSE 0.4797, R2 -7.7059
x57: Cal. error 0.4920, RMSE 0.4766, R2 -7.6011
x58: Cal. error 0.4920, RMSE 0.4838, R2 -7.8124
x59: Cal. error 0.4920, RMSE 0.4737, R2 -7.3939
x60: Cal. error 0.4920, RMSE 0.4565, R2 -6.7352
x61: Cal. error 0.4920, RMSE 0.4125, R2 -5.2624
x62: Cal. error 0.4890, RMSE 0.3788, R2 -4.2473
x63: Cal. error 0.4990, RMSE 0.3204, R2 -2.7238
x64: Cal. error 0.4990, RMSE 0.3940, R2 -4.6118
x65: Cal. error 0.5010, RMSE 0.4232, R2 -5.4201
x66: Cal. error 0.4970, RMSE 0.4555, R2 -6.4102
x67: Cal. error 0.5020, RMSE 0.4652, R2 -6.6642
x68: Cal. error 0.4990, RMSE 0.4713, R2 -6.8407
x69: Cal. error 0.5010, RMSE 0.4727, R2 -6.8974
x70: Cal. error 0.5020, RMSE 0.4765, R2 -7.0330
x71: Cal. error 0.5020, RMSE 0.4773, R2 -7.0886
x72: Cal. error 0.5020, RMSE 0.4848, R2 -7.3802
x73: Cal. error 0.5020, RMSE 0.4906, R2 -7.6764
x74: Cal. error 0.4990, RMSE 0.4917, R2 -7.8180
x75: Cal. error 0.4990, RMSE 0.4858, R2 -7.7157
x76: Cal. error 0.4990, RMSE 0.4754, R2 -7.4794
x77: Cal. error 0.4990, RMSE 0.4693, R2 -7.3838
x78: Cal. error 0.4990, RMSE 0.4606, R2 -7.1922
x79: Cal. error 0.4990, RMSE 0.4552, R2 -7.1200
x80: Cal. error 0.4990, RMSE 0.4562, R2 -7.2783
x81: Cal. error 0.4990, RMSE 0.4633, R2 -7.6444
x82: Cal. error 0.4990, RMSE 0.4698, R2 -7.9856
x83: Cal. error 0.4990, RMSE 0.4699, R2 -8.0646
x84: Cal. error 0.4990, RMSE 0.4661, R2 -7.9789
x85: Cal. error 0.4990, RMSE 0.4655, R2 -7.9818
x86: Cal. error 0.4990, RMSE 0.4667, R2 -8.0545
x87: Cal. error 0.4990, RMSE 0.4722, R2 -8.2743
x88: Cal. error 0.4990, RMSE 0.4871, R2 -8.8463
x89: Cal. error 0.4990, RMSE 0.5021, R2 -9.4317
x90: Cal. error 0.4990, RMSE 0.5183, R2 -10.0445
x91: Cal. error 0.4990, RMSE 0.5217, R2 -10.1330
x92: Cal. error 0.4990, RMSE 0.5229, R2 -10.0878
x93: Cal. error 0.4990, RMSE 0.5222, R2 -9.9596
x94: Cal. error 0.4990, RMSE 0.5267, R2 -10.0678
x95: Cal. error 0.4990, RMSE 0.5302, R2 -10.1422
x96: Cal. error 0.4990, RMSE 0.5448, R2 -10.6409
x97: Cal. error 0.4970, RMSE 0.5549, R2 -10.9975
x98: Cal. error 0.4990, RMSE 0.5677, R2 -11.4488
x99: Cal. error 0.4990, RMSE 0.5692, R2 -11.3885
x100: Cal. error 0.4990, RMSE 0.5642, R2 -11.1367
x101: Cal. error 0.4990, RMSE 0.5532, R2 -10.7665
x102: Cal. error 0.4990, RMSE 0.5507, R2 -10.5285
x103: Cal. error 0.4990, RMSE 0.5472, R2 -10.2084
x104: Cal. error 0.4990, RMSE 0.5468, R2 -10.1541
x105: Cal. error 0.4990, RMSE 0.5494, R2 -10.1993
x106: Cal. error 0.4990, RMSE 0.5592, R2 -10.4901
x107: Cal. error 0.4990, RMSE 0.5569, R2 -10.2927
x108: Cal. error 0.4990, RMSE 0.5507, R2 -9.9541
x109: Cal. error 0.4990, RMSE 0.5424, R2 -9.6103
x110: Cal. error 0.4990, RMSE 0.5387, R2 -9.4489
x111: Cal. error 0.4990, RMSE 0.5350, R2 -9.3110
x112: Cal. error 0.4990, RMSE 0.5361, R2 -9.4493
x113: Cal. error 0.4990, RMSE 0.5383, R2 -9.6238
x114: Cal. error 0.4990, RMSE 0.5413, R2 -9.8129
x115: Cal. error 0.4990, RMSE 0.5322, R2 -9.5206
x116: Cal. error 0.4990, RMSE 0.5154, R2 -8.9803
x117: Cal. error 0.5020, RMSE 0.5083, R2 -8.7718
x118: Cal. error 0.5020, RMSE 0.5098, R2 -8.8476
x119: Cal. error 0.5020, RMSE 0.5112, R2 -8.9218
x120: Cal. error 0.5020, RMSE 0.5176, R2 -9.1703
x121: Cal. error 0.5050, RMSE 0.5215, R2 -9.3369
x122: Cal. error 0.5020, RMSE 0.5272, R2 -9.5108
x123: Cal. error 0.5020, RMSE 0.5224, R2 -9.2554
x124: Cal. error 0.5020, RMSE 0.5137, R2 -8.8404
x125: Cal. error 0.5050, RMSE 0.4895, R2 -7.8602
x126: Cal. error 0.5050, RMSE 0.4591, R2 -6.7480
x127: Cal. error 0.5020, RMSE 0.4321, R2 -5.8058
x128: Cal. error 0.4770, RMSE 0.3101, R2 -2.1139
x129: Cal. error 0.4840, RMSE 0.3821, R2 -3.4893
x130: Cal. error 0.4740, RMSE 0.4062, R2 -3.7130
x131: Cal. error 0.4680, RMSE 0.4121, R2 -3.7664
x132: Cal. error 0.4650, RMSE 0.4245, R2 -3.9418
x133: Cal. error 0.4640, RMSE 0.4283, R2 -3.9707
x134: Cal. error 0.4650, RMSE 0.4428, R2 -4.1851
x135: Cal. error 0.4650, RMSE 0.4493, R2 -4.2450
x136: Cal. error 0.4620, RMSE 0.4313, R2 -3.9960
x137: Cal. error 0.4670, RMSE 0.4246, R2 -3.9871
x138: Cal. error 0.4600, RMSE 0.4192, R2 -3.9805
x139: Cal. error 0.4610, RMSE 0.4169, R2 -4.0496
x140: Cal. error 0.4620, RMSE 0.4014, R2 -3.9340
x141: Cal. error 0.4710, RMSE 0.3912, R2 -3.9801
x142: Cal. error 0.4640, RMSE 0.3762, R2 -3.8421
x143: Cal. error 0.4710, RMSE 0.3708, R2 -3.8831
x144: Cal. error 0.4680, RMSE 0.3666, R2 -3.9318
x145: Cal. error 0.4770, RMSE 0.3776, R2 -4.3765
x146: Cal. error 0.4730, RMSE 0.3846, R2 -4.7144
x147: Cal. error 0.4790, RMSE 0.3920, R2 -5.0256
x148: Cal. error 0.4770, RMSE 0.3917, R2 -5.1006
x149: Cal. error 0.4790, RMSE 0.4002, R2 -5.3727
x150: Cal. error 0.4770, RMSE 0.4086, R2 -5.5594
x151: Cal. error 0.4790, RMSE 0.4164, R2 -5.8818
x152: Cal. error 0.4790, RMSE 0.4141, R2 -6.0852
x153: Cal. error 0.4790, RMSE 0.4259, R2 -6.5459
x154: Cal. error 0.4900, RMSE 0.4385, R2 -6.7999
x155: Cal. error 0.4900, RMSE 0.4523, R2 -6.9408
x156: Cal. error 0.4950, RMSE 0.4649, R2 -6.7632
x157: Cal. error 0.4920, RMSE 0.4920, R2 -6.8132
x158: Cal. error 0.4920, RMSE 0.5254, R2 -6.8563
x159: Cal. error 0.4940, RMSE 0.5344, R2 -7.0177
x160: Cal. error 0.4950, RMSE 0.5244, R2 -6.8805
x161: Cal. error 0.4950, RMSE 0.5160, R2 -6.9704
x162: Cal. error 0.4950, RMSE 0.5165, R2 -6.9333
x163: Cal. error 0.4950, RMSE 0.5182, R2 -6.9400
x164: Cal. error 0.4950, RMSE 0.5125, R2 -6.5151
x165: Cal. error 0.4920, RMSE 0.5227, R2 -6.4273
x166: Cal. error 0.4920, RMSE 0.5295, R2 -6.2445
x167: Cal. error 0.4920, RMSE 0.5462, R2 -6.3158
x168: Cal. error 0.4890, RMSE 0.5579, R2 -6.1754
x169: Cal. error 0.4920, RMSE 0.5574, R2 -6.4567
x170: Cal. error 0.4950, RMSE 0.5601, R2 -6.7577
x171: Cal. error 0.4950, RMSE 0.5974, R2 -7.1248
x172: Cal. error 0.4950, RMSE 0.6049, R2 -7.2264
x173: Cal. error 0.4950, RMSE 0.5985, R2 -7.6429
x174: Cal. error 0.4950, RMSE 0.5875, R2 -8.0546
x175: Cal. error 0.4950, RMSE 0.5889, R2 -8.6832
x176: Cal. error 0.4950, RMSE 0.5926, R2 -9.1551
x177: Cal. error 0.4950, RMSE 0.6138, R2 -9.8872
x178: Cal. error 0.4950, RMSE 0.6181, R2 -10.3334
x179: Cal. error 0.4950, RMSE 0.6065, R2 -10.5860
x180: Cal. error 0.4950, RMSE 0.5828, R2 -10.3912
x181: Cal. error 0.4950, RMSE 0.5771, R2 -10.4665
x182: Cal. error 0.4920, RMSE 0.5714, R2 -10.4695
x183: Cal. error 0.4910, RMSE 0.5610, R2 -10.4877
x184: Cal. error 0.4920, RMSE 0.5541, R2 -10.1993
x185: Cal. error 0.4930, RMSE 0.5628, R2 -10.2422
x186: Cal. error 0.5020, RMSE 0.5732, R2 -10.1692
x187: Cal. error 0.5020, RMSE 0.5827, R2 -9.9580
x188: Cal. error 0.5020, RMSE 0.5605, R2 -9.3874
x189: Cal. error 0.5020, RMSE 0.5434, R2 -8.8562
x190: Cal. error 0.5020, RMSE 0.5058, R2 -7.5412
x191: Cal. error 0.4970, RMSE 0.4132, R2 -4.6786
x192: Cal. error 0.4910, RMSE 0.4836, R2 -6.6266
x193: Cal. error 0.4990, RMSE 0.5631, R2 -8.8233
x194: Cal. error 0.5010, RMSE 0.6143, R2 -9.8618
x195: Cal. error 0.5020, RMSE 0.6257, R2 -10.0690
x196: Cal. error 0.5050, RMSE 0.6341, R2 -10.1013
x197: Cal. error 0.5020, RMSE 0.6233, R2 -9.5909
x198: Cal. error 0.4990, RMSE 0.6217, R2 -9.2766
x199: Cal. error 0.5050, RMSE 0.6203, R2 -9.0441
x200: Cal. error 0.5020, RMSE 0.6094, R2 -9.0148
x201: Cal. error 0.5020, RMSE 0.6039, R2 -9.1269
x202: Cal. error 0.4990, RMSE 0.5966, R2 -9.1195
x203: Cal. error 0.4990, RMSE 0.5850, R2 -8.9717
x204: Cal. error 0.4990, RMSE 0.5617, R2 -8.6952
x205: Cal. error 0.4970, RMSE 0.5394, R2 -8.5015
x206: Cal. error 0.4990, RMSE 0.5171, R2 -8.1783
x207: Cal. error 0.4990, RMSE 0.5081, R2 -8.2030
x208: Cal. error 0.4990, RMSE 0.5098, R2 -8.5688
x209: Cal. error 0.4990, RMSE 0.5239, R2 -9.3833
x210: Cal. error 0.4990, RMSE 0.5347, R2 -10.0774
x211: Cal. error 0.5050, RMSE 0.5432, R2 -10.6012
x212: Cal. error 0.5020, RMSE 0.5496, R2 -11.0392
x213: Cal. error 0.4990, RMSE 0.5589, R2 -11.4589
x214: Cal. error 0.4990, RMSE 0.5702, R2 -11.8022
x215: Cal. error 0.4990, RMSE 0.5804, R2 -12.3920
x216: Cal. error 0.4990, RMSE 0.5867, R2 -13.2400
x217: Cal. error 0.5020, RMSE 0.6038, R2 -14.1787
x218: Cal. error 0.5020, RMSE 0.6238, R2 -14.7956
x219: Cal. error 0.5050, RMSE 0.6415, R2 -14.9778
x220: Cal. error 0.5050, RMSE 0.6640, R2 -14.8390
x221: Cal. error 0.5050, RMSE 0.6990, R2 -14.7692
x222: Cal. error 0.5050, RMSE 0.7403, R2 -14.5952
x223: Cal. error 0.5050, RMSE 0.7483, R2 -14.7183
x224: Cal. error 0.5050, RMSE 0.7454, R2 -14.9293
x225: Cal. error 0.5050, RMSE 0.7396, R2 -15.3909
