Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.7022, R2 -16.7416
x1: Cal. error 0.5050, RMSE 0.6961, R2 -16.2875
x2: Cal. error 0.5050, RMSE 0.6942, R2 -16.1247
x3: Cal. error 0.5050, RMSE 0.6936, R2 -15.9560
x4: Cal. error 0.5050, RMSE 0.6937, R2 -15.9033
x5: Cal. error 0.5050, RMSE 0.6904, R2 -15.7668
x6: Cal. error 0.5050, RMSE 0.6905, R2 -15.7907
x7: Cal. error 0.5050, RMSE 0.6878, R2 -15.7163
x8: Cal. error 0.5050, RMSE 0.6872, R2 -15.7693
x9: Cal. error 0.5050, RMSE 0.6826, R2 -15.7226
x10: Cal. error 0.5050, RMSE 0.6807, R2 -15.8301
x11: Cal. error 0.5050, RMSE 0.6766, R2 -15.8483
x12: Cal. error 0.5050, RMSE 0.6747, R2 -16.0183
x13: Cal. error 0.5050, RMSE 0.6714, R2 -16.1059
x14: Cal. error 0.5050, RMSE 0.6713, R2 -16.3498
x15: Cal. error 0.5050, RMSE 0.6688, R2 -16.4794
x16: Cal. error 0.5050, RMSE 0.6693, R2 -16.7732
x17: Cal. error 0.5050, RMSE 0.6685, R2 -16.9551
x18: Cal. error 0.5050, RMSE 0.6713, R2 -17.3047
x19: Cal. error 0.5050, RMSE 0.6728, R2 -17.5392
x20: Cal. error 0.5050, RMSE 0.6769, R2 -17.9009
x21: Cal. error 0.5050, RMSE 0.6802, R2 -18.1473
x22: Cal. error 0.5050, RMSE 0.6865, R2 -18.5591
x23: Cal. error 0.5050, RMSE 0.6907, R2 -18.8179
x24: Cal. error 0.5050, RMSE 0.6983, R2 -19.2050
x25: Cal. error 0.5050, RMSE 0.7032, R2 -19.4380
x26: Cal. error 0.5050, RMSE 0.7124, R2 -19.8442
x27: Cal. error 0.5050, RMSE 0.7177, R2 -20.0500
x28: Cal. error 0.5050, RMSE 0.7274, R2 -20.4408
x29: Cal. error 0.5050, RMSE 0.7336, R2 -20.6125
x30: Cal. error 0.5050, RMSE 0.7427, R2 -20.9931
x31: Cal. error 0.5050, RMSE 0.7475, R2 -21.1355
x32: Cal. error 0.5050, RMSE 0.7580, R2 -21.5185
x33: Cal. error 0.5050, RMSE 0.7612, R2 -21.5621
x34: Cal. error 0.5050, RMSE 0.7694, R2 -21.8543
x35: Cal. error 0.5050, RMSE 0.7737, R2 -21.8814
x36: Cal. error 0.5050, RMSE 0.7800, R2 -22.1786
x37: Cal. error 0.5050, RMSE 0.7745, R2 -22.0477
x38: Cal. error 0.5050, RMSE 0.7823, R2 -22.2505
x39: Cal. error 0.5050, RMSE 0.7867, R2 -22.1461
x40: Cal. error 0.5050, RMSE 0.7905, R2 -22.2894
x41: Cal. error 0.5050, RMSE 0.7893, R2 -22.0939
x42: Cal. error 0.5050, RMSE 0.7947, R2 -22.1811
x43: Cal. error 0.5050, RMSE 0.7945, R2 -21.9610
x44: Cal. error 0.5050, RMSE 0.7982, R2 -21.9753
x45: Cal. error 0.5050, RMSE 0.7939, R2 -21.7001
x46: Cal. error 0.5050, RMSE 0.7931, R2 -21.6122
x47: Cal. error 0.5050, RMSE 0.7871, R2 -21.2767
x48: Cal. error 0.5050, RMSE 0.7807, R2 -21.1214
x49: Cal. error 0.5050, RMSE 0.7708, R2 -20.7407
x50: Cal. error 0.5050, RMSE 0.7650, R2 -20.5546
x51: Cal. error 0.5050, RMSE 0.7554, R2 -20.1468
x52: Cal. error 0.5050, RMSE 0.7467, R2 -19.8974
x53: Cal. error 0.5050, RMSE 0.7366, R2 -19.4621
x54: Cal. error 0.5050, RMSE 0.7315, R2 -19.2135
x55: Cal. error 0.5050, RMSE 0.7231, R2 -18.7846
x56: Cal. error 0.5050, RMSE 0.7186, R2 -18.5333
x57: Cal. error 0.5050, RMSE 0.7112, R2 -18.1482
x58: Cal. error 0.5050, RMSE 0.7082, R2 -17.8867
x59: Cal. error 0.5050, RMSE 0.7036, R2 -17.5170
x60: Cal. error 0.5050, RMSE 0.7015, R2 -17.2655
x61: Cal. error 0.5050, RMSE 0.6981, R2 -16.9375
x62: Cal. error 0.5050, RMSE 0.6934, R2 -16.5856
x63: Cal. error 0.5050, RMSE 0.7007, R2 -16.8081
x64: Cal. error 0.5050, RMSE 0.7035, R2 -16.8946
x65: Cal. error 0.5050, RMSE 0.6973, R2 -16.4318
x66: Cal. error 0.5050, RMSE 0.6950, R2 -16.2475
x67: Cal. error 0.5050, RMSE 0.6947, R2 -16.0920
x68: Cal. error 0.5050, RMSE 0.6949, R2 -16.0424
x69: Cal. error 0.5050, RMSE 0.6915, R2 -15.8998
x70: Cal. error 0.5050, RMSE 0.6916, R2 -15.9251
x71: Cal. error 0.5050, RMSE 0.6886, R2 -15.8319
x72: Cal. error 0.5050, RMSE 0.6883, R2 -15.8960
x73: Cal. error 0.5050, RMSE 0.6836, R2 -15.8415
x74: Cal. error 0.5050, RMSE 0.6818, R2 -15.9505
x75: Cal. error 0.5050, RMSE 0.6776, R2 -15.9562
x76: Cal. error 0.5050, RMSE 0.6757, R2 -16.1264
x77: Cal. error 0.5050, RMSE 0.6724, R2 -16.2115
x78: Cal. error 0.5050, RMSE 0.6723, R2 -16.4533
x79: Cal. error 0.5050, RMSE 0.6698, R2 -16.5798
x80: Cal. error 0.5050, RMSE 0.6702, R2 -16.8702
x81: Cal. error 0.5050, RMSE 0.6695, R2 -17.0507
x82: Cal. error 0.5050, RMSE 0.6723, R2 -17.3959
x83: Cal. error 0.5050, RMSE 0.6737, R2 -17.6272
x84: Cal. error 0.5050, RMSE 0.6778, R2 -17.9875
x85: Cal. error 0.5050, RMSE 0.6812, R2 -18.2337
x86: Cal. error 0.5050, RMSE 0.6874, R2 -18.6417
x87: Cal. error 0.5050, RMSE 0.6916, R2 -18.8990
x88: Cal. error 0.5050, RMSE 0.6992, R2 -19.2832
x89: Cal. error 0.5050, RMSE 0.7042, R2 -19.5180
x90: Cal. error 0.5050, RMSE 0.7134, R2 -19.9226
x91: Cal. error 0.5050, RMSE 0.7187, R2 -20.1283
x92: Cal. error 0.5050, RMSE 0.7284, R2 -20.5172
x93: Cal. error 0.5050, RMSE 0.7349, R2 -20.7017
