Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.6851, R2 -15.8881
x1: Cal. error 0.5050, RMSE 0.6952, R2 -16.2421
x2: Cal. error 0.5050, RMSE 0.6929, R2 -16.0619
x3: Cal. error 0.5050, RMSE 0.6932, R2 -15.9345
x4: Cal. error 0.5050, RMSE 0.6922, R2 -15.8289
x5: Cal. error 0.5050, RMSE 0.6899, R2 -15.7423
x6: Cal. error 0.5050, RMSE 0.6888, R2 -15.7085
x7: Cal. error 0.5050, RMSE 0.6867, R2 -15.6662
x8: Cal. error 0.5050, RMSE 0.6854, R2 -15.6781
x9: Cal. error 0.5050, RMSE 0.6818, R2 -15.6853
x10: Cal. error 0.5050, RMSE 0.6786, R2 -15.7280
x11: Cal. error 0.5050, RMSE 0.6757, R2 -15.8048
x12: Cal. error 0.5050, RMSE 0.6727, R2 -15.9207
x13: Cal. error 0.5050, RMSE 0.6707, R2 -16.0687
x14: Cal. error 0.5050, RMSE 0.6691, R2 -16.2405
x15: Cal. error 0.5050, RMSE 0.6679, R2 -16.4315
x16: Cal. error 0.5050, RMSE 0.6673, R2 -16.6693
x17: Cal. error 0.5050, RMSE 0.6677, R2 -16.9112
x18: Cal. error 0.5050, RMSE 0.6693, R2 -17.1957
x19: Cal. error 0.5050, RMSE 0.6718, R2 -17.4882
x20: Cal. error 0.5050, RMSE 0.6751, R2 -17.8042
x21: Cal. error 0.5050, RMSE 0.6796, R2 -18.1152
x22: Cal. error 0.5050, RMSE 0.6847, R2 -18.4594
x23: Cal. error 0.5050, RMSE 0.6902, R2 -18.7892
x24: Cal. error 0.5050, RMSE 0.6968, R2 -19.1218
x25: Cal. error 0.5050, RMSE 0.7032, R2 -19.4354
x26: Cal. error 0.5050, RMSE 0.7112, R2 -19.7698
x27: Cal. error 0.5050, RMSE 0.7178, R2 -20.0583
x28: Cal. error 0.5050, RMSE 0.7264, R2 -20.3828
x29: Cal. error 0.5050, RMSE 0.7343, R2 -20.6516
x30: Cal. error 0.5050, RMSE 0.7417, R2 -20.9342
x31: Cal. error 0.5050, RMSE 0.7481, R2 -21.1720
x32: Cal. error 0.5050, RMSE 0.7569, R2 -21.4586
x33: Cal. error 0.5050, RMSE 0.7621, R2 -21.6177
x34: Cal. error 0.5050, RMSE 0.7683, R2 -21.7884
x35: Cal. error 0.5050, RMSE 0.7744, R2 -21.9230
x36: Cal. error 0.5050, RMSE 0.7788, R2 -22.1107
x37: Cal. error 0.5050, RMSE 0.7754, R2 -22.1005
x38: Cal. error 0.5050, RMSE 0.7809, R2 -22.1688
x39: Cal. error 0.5050, RMSE 0.7874, R2 -22.1848
x40: Cal. error 0.5050, RMSE 0.7890, R2 -22.1994
x41: Cal. error 0.5050, RMSE 0.7899, R2 -22.1294
x42: Cal. error 0.5050, RMSE 0.7929, R2 -22.0754
x43: Cal. error 0.5050, RMSE 0.7945, R2 -21.9606
x44: Cal. error 0.5050, RMSE 0.7962, R2 -21.8650
x45: Cal. error 0.5050, RMSE 0.7938, R2 -21.6937
x46: Cal. error 0.5050, RMSE 0.7909, R2 -21.4857
x47: Cal. error 0.5050, RMSE 0.7868, R2 -21.2585
x48: Cal. error 0.5050, RMSE 0.7785, R2 -21.0005
x49: Cal. error 0.5050, RMSE 0.7706, R2 -20.7258
x50: Cal. error 0.5050, RMSE 0.7629, R2 -20.4328
x51: Cal. error 0.5050, RMSE 0.7548, R2 -20.1095
x52: Cal. error 0.5050, RMSE 0.7445, R2 -19.7711
x53: Cal. error 0.5050, RMSE 0.7358, R2 -19.4177
x54: Cal. error 0.5050, RMSE 0.7292, R2 -19.0839
x55: Cal. error 0.5050, RMSE 0.7222, R2 -18.7381
